identifier,,Unnamed: 0,identifier,topic_num,weight,Department,title,identifier1,topic_num1,weight1,Department1,title1,source,target
f300007x,15563,15564,f300007x,topic19,0.000184,Psychology,Optimality and flexibility in utilizing predictive spatial cues during visual search,f3c827d0,topic19,0.000352,"Ecology, Evolution and Marine Biology","Herbivore Community Dynamics and Functional Compositions in Moorea, French Polynesia",5,676
f300007x,17029,17030,f300007x,topic25,0.0978354881,Psychology,Optimality and flexibility in utilizing predictive spatial cues during visual search,f3ft8j16,topic25,0.08421704624,Electrical and Computer Engineering,Integrated Linewidth Reduction of Rapidly Tunable Semiconductor Lasers,5,831
f300007x,17325,17326,f300007x,topic25,0.0978354881,Psychology,Optimality and flexibility in utilizing predictive spatial cues during visual search,f3nk3c07,topic25,0.08811998812,History,"Pulp Empire: Comic Books, Culture, and U.S. Foreign Policy, 1941-1955",5,1169
f300007x,15023,15024,f300007x,topic17,0.000134,Psychology,Optimality and flexibility in utilizing predictive spatial cues during visual search,f3w66hpc,topic17,0.011073310559999999,History,The sources of Greek alchemical inquiry,5,1562
f300008c,20381,20382,f300008c,topic19,0.00023700000000000001,Materials,Modeling of Oxidation Embrittlement of SiC/SiC Composites,f3qv3jhd,topic19,0.03834986327,Art History,This Charming Symmetry of Contradictions: The Arabesque and the Emerging Bourgeois Family in Philipp Otto Runge's Fall of the Fatherland (1809),6,1299
f300008c,19874,19875,f300008c,topic19,0.00023700000000000001,Materials,Modeling of Oxidation Embrittlement of SiC/SiC Composites,f3959fp2,topic19,0.00032,"Geography, Joint Program SDSU",Regional Streamflow Response to Wildfire in California Watersheds,6,552
f300008c,21781,21782,f300008c,topic25,0.004056648615,Materials,Modeling of Oxidation Embrittlement of SiC/SiC Composites,f3pr7t5d,topic25,0.11576908279999999,Chemical Engineering,Mathematical Approaches to Understanding Mammalian Circadian Rhythms,6,1241
f300008c,22196,22197,f300008c,topic25,0.004056648615,Materials,Modeling of Oxidation Embrittlement of SiC/SiC Composites,f3zp45x2,topic25,0.007538367094,Electrical and Computer Engineering,"Towards Joint Optimality of Spatial, Temporal Prediction and Transform Coding of Video Signals",6,1719
f300008c,23424,23425,f300008c,topic7,0.000858,Materials,Modeling of Oxidation Embrittlement of SiC/SiC Composites,f3nc5zcw,topic7,0.07737809589,East Asian Languages and Cultures,Media Treatments of Fukushima,6,1159
f300009t,25203,25204,f300009t,topic22,0.016649433369999998,"Molecular, Cellular and Developmental Biology",Development of cell culture models for age-related macular degeneration,f3gb221m,topic22,0.03557240228,Education,"The homes we inhabit: Implicating socio-historical, cultural, political narratives in the negotiation of mathematics relationships",7,860
f300009t,25812,25813,f300009t,topic25,0.01956609355,"Molecular, Cellular and Developmental Biology",Development of cell culture models for age-related macular degeneration,f3bk199w,topic25,0.04254304615,Electrical and Computer Engineering,Compact Low-Power Low-Noise Neural Recording Wireless Channel for High Density Neural Implants (HDNIs),7,631
f300009t,27545,27546,f300009t,topic7,0.004140725307,"Molecular, Cellular and Developmental Biology",Development of cell culture models for age-related macular degeneration,f3cc0xwt,topic7,0.1064273275,Economics,Responses to Institutional Constraints,7,684
f300009t,27136,27137,f300009t,topic7,0.004140725307,"Molecular, Cellular and Developmental Biology",Development of cell culture models for age-related macular degeneration,f3416v6p,topic7,0.5301219121,Communication,Testing the Affect Model of Social Comparison (AMSC) : Emotional and Behavioral Implications of Viewers' Shifting Comparisons to Transforming Media Targets,7,243
f300009t,26373,26374,f300009t,topic25,0.01956609355,"Molecular, Cellular and Developmental Biology",Development of cell culture models for age-related macular degeneration,f3q81b68,topic25,0.002032230649,Religious Studies,Huskerdom: Nebraska Football Fans and American Religion,7,1269
f3028pfm,31926,31927,f3028pfm,topic7,0.000908,Electrical and Computer Engineering,Physical Modeling and RLCG Extraction of Interconnects in 3-D ICs alongside Interconnect Technology Exploration with Carbon Nanomaterials,f38913v6,topic7,0.05416959153,Global and International Studies,Rethinking Sustainable Development in South Africa Through An Integrated Biodiversity Conservation and Climate Change Adaptation Approach,8,497
f3028pfm,29559,29560,f3028pfm,topic19,0.000251,Electrical and Computer Engineering,Physical Modeling and RLCG Extraction of Interconnects in 3-D ICs alongside Interconnect Technology Exploration with Carbon Nanomaterials,f3np22m7,topic19,0.04116588611,History,"Food Redistribution during China's Qin and Han Periods: Accordance and discordance among ideologies, policies, and their implementation",8,1177
f3028pfm,31037,31038,f3028pfm,topic25,0.1547162158,Electrical and Computer Engineering,Physical Modeling and RLCG Extraction of Interconnects in 3-D ICs alongside Interconnect Technology Exploration with Carbon Nanomaterials,f3pk0db9,topic25,0.04687827545,Global Studies,Education & the tumult of globalization : Considering political risk management for international education in an era of globalization,8,1229
f3028pfm,32136,32137,f3028pfm,topic7,0.000908,Electrical and Computer Engineering,Physical Modeling and RLCG Extraction of Interconnects in 3-D ICs alongside Interconnect Technology Exploration with Carbon Nanomaterials,f3d21vj3,topic7,0.01405115145,Physics,Dileptons and jets at the LHC: the search for lepto-gluons and supersymmetry,8,723
f3028pfm,32969,32970,f3028pfm,topic7,0.000908,Electrical and Computer Engineering,Physical Modeling and RLCG Extraction of Interconnects in 3-D ICs alongside Interconnect Technology Exploration with Carbon Nanomaterials,f3x63jtr,topic7,0.0198568329,Theater Studies,"Whose Nation Is It Anyway? Performing ""GI American"" Through World War II Soldier Shows",8,1622
f3028pg2,35864,35865,f3028pg2,topic25,0.09763326527999999,Materials,A hierarchical polymeric composite for energy dissipation,f3ft8j7w,topic25,0.2161596678,Computer Science - Engineering,Configurable and Sound Static Analysis of JavaScript : Techniques and Applications,9,835
f3028pg2,36715,36716,f3028pg2,topic7,0.002690229935,Materials,A hierarchical polymeric composite for energy dissipation,f31c1v12,topic7,0.17342175489999997,"Ecology, Evolution and Marine Biology","The Effects of Elevated Ocean Acidity and Temperature on the Physiological Integrity of the Larvae of the Cauliflower Coral, Pocillopora damicornis",9,83
f3028pg2,35636,35637,f3028pg2,topic25,0.09763326527999999,Materials,A hierarchical polymeric composite for energy dissipation,f39k48br,topic25,0.2883651528,Electrical and Computer Engineering,Cost Effective Error Detection for SoC Validation and Online Testing,9,575
f3028pg2,36364,36365,f3028pg2,topic25,0.09763326527999999,Materials,A hierarchical polymeric composite for energy dissipation,f3sn06x2,topic25,0.001461062739,English,The Female Complaint and the Elizabethan Literary Profession,9,1409
f3028pg2,37215,37216,f3028pg2,topic7,0.002690229935,Materials,A hierarchical polymeric composite for energy dissipation,f3bg2m2t,topic7,0.0069172101040000005,Geological Sciences,Heat and B-10 enriched boric acid as recycled groundwater tracers for managed aquifer recharge,9,627
f3028phh,42285,42286,f3028phh,topic7,0.02931521313,Global and International Studies,Palestinian Refugees in Lebanon: Access to the Lebanese Legal System,f35h7dc2,topic7,0.07695382422000001,Geography,Soil-Landscape Modeling Of Coastal California Hillslopes Using Terrestrial Lidar,10,332
f3028phh,40090,40091,f3028phh,topic19,0.5081891557,Global and International Studies,Palestinian Refugees in Lebanon: Access to the Lebanese Legal System,f3p26w32,topic19,0.000679,Statistics and Applied Probability,"Diversification, Systemic Default and Regulation",10,1195
f3028phh,40910,40911,f3028phh,topic25,0.029003334920000002,Global and International Studies,Palestinian Refugees in Lebanon: Access to the Lebanese Legal System,f38913tr,topic25,0.08220425876,Computer Science,Combinatorial and Geometric Optimization over Stochastic Data,10,496
f3028phh,39428,39429,f3028phh,topic19,0.5081891557,Global and International Studies,Palestinian Refugees in Lebanon: Access to the Lebanese Legal System,f33f4mr1,topic19,0.00041600000000000003,Theater Studies,"Employing Africa in the Broadway Musical: Artistic Labors and Contested Meanings of the Racial Body, from 1903 to 2009",10,210
f3028phh,42821,42822,f3028phh,topic7,0.02931521313,Global and International Studies,Palestinian Refugees in Lebanon: Access to the Lebanese Legal System,f3h41pjn,topic7,0.030474075950000002,Latin American and Iberian Studies,"The (Re)construction of Blackness in Costa Chica, Oaxaca: NGOs and the Making of an Afro-Mexican Ethnic Group",10,909
f3028pn9,48055,48056,f3028pn9,topic9,0.04934341868,Materials,Embedded Photonic Crystals in Gallium Nitride: MOCVD Growth and LED Design,f3930r9r,topic9,0.1056709497,Materials,Coupling between crystal structure and magnetism in transition-metal oxides,11,546
