FID,ID,Xindex,Yindex,Qerror,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24,topic25,topic26,topic27,topic28,topic29,topic30,topic31,topic32,topic33,topic34,topic35,topic36,topic37,topic38,topic39,topic40,topic41,topic42,topic43,topic44,topic45,topic46,topic47,topic48,topic49,topic50,topic51,topic52,topic53,topic54,topic55,topic56,topic57,topic58,topic59,topic60,topic61,topic62,topic63,topic64,topic65,topic66,topic67,topic68,topic69,topic70,identifier,identifi_1,title,year,author,degree_gra,degree_sup,language,x,y
373,972,4,0,0.173626,0.000133,0.117716,0.000151,0.000173,0.000103,0.000111,0.000179,0.009203,0.014814,0.000293,0.000112,0.000112,8.4E-05,0.000316,0.000254,0.000187,0.0001,0.000373,7E-05,0.000514,0.058888,0.000153,0.00014,7E-05,9E-05,0.00145,0.000331,0.000107,0.000178,2.5E-05,0.000445,0.002226,0.000189,8.2E-05,6.7E-05,0.000104,0.007495,0.211168,9E-05,0.000159,9.5E-05,7.1E-05,0.000197,0.000131,8.1E-05,0.000125,0.000119,0.161671,0.000549,0.000276,8.2E-05,5E-05,6.4E-05,8.6E-05,0.000743,0.0001,8.4E-05,0.000141,0.000116,0.00022,0.000215,0.000457,0.000151,0.000181,0.000151,0.000175,7.7E-05,0.000131,0.000129,0.404703,0.000171,f3f18wv5,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3f18wv5,The Private Side of Public Space: How Black Women Manage Interactions in Inner City Communities,2013,"McCurn, Alexis Sharon","University of California, Santa Barbara. Sociology","Nikki Jones, Sarah Fenstermaker",English,4.25354515492168,0.0462958500190811
374,973,3,29,0.222802,0.000234,0.000434,0.000267,0.000306,0.000182,0.000195,0.000315,0.236428,0.00023,0.000518,0.298106,0.000197,0.000148,0.298466,0.000447,0.000331,0.000177,0.000658,0.000123,0.000907,0.00027,0.00027,0.000246,0.000123,0.000159,0.002559,0.000585,0.000189,0.000314,4.4E-05,0.000785,0.01688,0.000334,0.000145,0.000119,0.000184,0.00027,0.009871,0.000159,0.000281,0.000167,0.000125,0.000347,0.000232,0.000142,0.000221,0.00021,0.000265,0.000969,0.000486,0.000145,8.9E-05,0.000113,0.000152,0.091979,0.000177,0.000148,0.000249,0.000205,0.000387,0.00038,0.000806,0.000266,0.000319,0.000266,0.000309,0.000137,0.000232,0.000228,0.027493,0.000302,f3jw8bv3,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3jw8bv3,Secondary Mathematics Student Teachers' Questions and Responses in Whole Class Discussion: Influences on Instructional Decisions,2013,"Gaspard, Cathy","University of California, Santa Barbara. Education",Mary E. Brenner,English,3.22903663942962,25.1344616538316
375,974,7,24,0.249682,0.000143,0.000265,0.000163,0.000187,0.000111,0.00012,0.000193,0.192175,0.00014,0.000317,0.000121,0.000121,9E-05,0.000341,0.095357,0.49939,0.000108,0.000403,7.5E-05,0.000555,0.000165,0.000165,0.000151,7.5E-05,9.7E-05,0.001565,0.000358,0.000115,0.000192,2.7E-05,0.00048,0.010326,0.000204,8.9E-05,7.3E-05,0.000113,0.000165,0.156587,9.7E-05,0.000172,0.000102,7.6E-05,0.000212,0.000142,8.7E-05,0.000135,0.000129,0.000162,0.000593,0.008221,8.9E-05,5.4E-05,6.9E-05,9.3E-05,0.000802,0.000108,9.1E-05,0.000152,0.000125,0.000237,0.000232,0.000493,0.000163,0.000195,0.000163,0.008113,8.4E-05,0.000142,0.00014,0.016819,0.000185,f3x63jx3,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3x63jx3,What Is Social About Social Media Users? How Social Media Efficacy Impacts Information Evaluation Online,2013,"Hocevar, Kristin Page","University of California, Santa Barbara. Communication",Andrew J. Flanagin,English,7.02984087454352,20.6065976272888
376,975,26,12,0.177728,0.000117,0.000217,0.000133,0.000153,9.1E-05,9.8E-05,0.000158,0.105401,0.000115,0.000259,0.026039,0.006584,7.4E-05,0.104037,0.000224,0.000166,0.006573,0.058694,6.1E-05,0.000454,0.000135,0.000135,0.000123,6.1E-05,8E-05,0.0791,0.000293,9.5E-05,0.000157,2.2E-05,0.000393,0.001966,0.000167,7.3E-05,5.9E-05,9.2E-05,0.000135,0.167064,0.194626,0.00014,8.4E-05,6.2E-05,0.000174,0.000116,7.1E-05,0.000111,0.000105,0.000132,0.000485,0.116971,7.3E-05,4.4E-05,5.6E-05,7.6E-05,0.07199,8.9E-05,7.4E-05,0.052003,0.000102,0.000194,0.00019,0.000403,0.000133,0.00016,0.000133,0.000155,6.8E-05,0.000116,0.000114,0.000795,0.000151,f30c4sw8,https://www.alexandria.ucsb.edu/lib/ark:/48907/f30c4sw8,Course Management System Interaction Analysis: A Study of Current Adopters of an Established Course Management System,2013,"Ford, James Keith","University of California, Santa Barbara. Education",Charles Bazerman,English,26.0493487214402,10.5400079548702
377,976,1,17,0.157448,8E-05,0.000148,9.1E-05,0.000104,6.2E-05,6.7E-05,0.000108,0.05417,7.8E-05,0.000177,6.8E-05,6.7E-05,5E-05,0.00019,0.000153,0.000113,6E-05,0.057695,4.2E-05,0.247873,9.2E-05,9.2E-05,8.4E-05,4.2E-05,5.4E-05,0.009715,0.0002,6.4E-05,0.026632,1.5E-05,0.000268,0.001341,0.000114,5E-05,4.1E-05,6.3E-05,9.2E-05,0.308402,0.017737,9.6E-05,5.7E-05,4.3E-05,0.000118,7.9E-05,4.9E-05,7.6E-05,7.2E-05,9E-05,0.000331,0.000166,4.9E-05,3E-05,3.8E-05,5.2E-05,0.000448,6E-05,5.1E-05,0.084079,7E-05,0.008974,0.00013,0.000275,9.1E-05,0.000109,9.1E-05,0.013368,4.7E-05,7.9E-05,0.084073,0.080116,0.000103,f38913v6,https://www.alexandria.ucsb.edu/lib/ark:/48907/f38913v6,Rethinking Sustainable Development in South Africa Through An Integrated Biodiversity Conservation and Climate Change Adaptation Approach,2013,"Olson, Emilie A.","University of California, Santa Barbara. Global and International Studies","Eve Darian Smith, Richard Falk",English,1.25631919658144,14.6561491547854
378,977,9,21,0.24341,0.000101,0.000187,0.000115,0.000132,7.8E-05,8.4E-05,0.000136,0.107438,9.9E-05,0.000223,8.5E-05,8.5E-05,6.4E-05,0.00024,0.033674,0.234511,7.6E-05,0.000284,5.3E-05,0.000391,0.000116,0.000116,0.000106,5.3E-05,6.9E-05,0.001102,0.000252,8.1E-05,0.000135,1.9E-05,0.000338,0.001692,0.000144,6.3E-05,5.1E-05,7.9E-05,0.000116,0.160498,6.8E-05,0.000121,7.2E-05,5.4E-05,0.00015,0.00568,0.005642,9.5E-05,9.1E-05,0.000114,0.000417,0.000209,6.2E-05,3.8E-05,4.9E-05,6.6E-05,0.000565,0.005656,6.4E-05,0.000107,8.8E-05,0.000167,0.000164,0.000347,0.000115,0.000138,0.000115,0.424229,5.9E-05,0.0001,9.8E-05,0.011844,0.00013,f3cn7207,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3cn7207,Political Consumerism and the Expansion of Political Participation in the U.S,2013,"Copeland, Lauren M.","University of California, Santa Barbara. Portuguese",Bruce Bimber,English,9.26406243168757,18.1213861009294
379,978,41,41,0.115724,0.000117,0.000216,0.000133,0.000152,9E-05,9.7E-05,0.064588,0.046735,0.000114,0.580136,9.9E-05,9.8E-05,7.3E-05,0.000277,0.000222,0.000164,8.8E-05,0.000328,6.1E-05,0.000451,0.000134,0.000134,0.000123,6.1E-05,7.9E-05,0.033488,0.000291,9.4E-05,0.032371,2.2E-05,0.006834,0.079271,0.000166,7.2E-05,5.9E-05,9.2E-05,0.000134,0.133772,7.9E-05,0.00014,8.3E-05,6.2E-05,0.000173,0.000115,7.1E-05,0.00011,0.000105,0.000132,0.013368,0.000242,7.2E-05,4.4E-05,5.6E-05,7.6E-05,0.000652,8.8E-05,7.4E-05,0.000124,0.000102,0.000193,0.000189,0.000401,0.000132,0.000159,0.000132,0.000154,6.8E-05,0.000115,0.000114,0.00079,0.00015,f3gx48jf,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3gx48jf,Synthesis and Characterization of Conjugated Polymers and Small Molecules for Organic Photovoltaic Devices,2013,"Kwon, Obum","University of California, Santa Barbara. Chemistry",Guillermo C. Bazan,English,41.2839405888462,35.4023132202208
380,979,38,39,0.216996,0.000138,0.007877,0.000157,0.00018,0.000107,0.000115,0.000185,0.001932,0.000135,0.312793,0.000117,0.000116,8.7E-05,0.000328,0.000263,0.000195,0.000104,0.000387,7.2E-05,0.000534,0.000159,0.000159,0.000145,7.2E-05,9.4E-05,0.047236,0.007966,0.000111,0.000185,2.6E-05,0.000462,0.055663,0.000196,8.6E-05,7E-05,0.000108,0.000159,0.165863,9.3E-05,0.175463,9.8E-05,7.3E-05,0.061178,0.000136,8.4E-05,0.00013,0.000124,0.000156,0.053922,0.000286,8.5E-05,5.2E-05,6.6E-05,8.9E-05,0.000772,0.000104,8.7E-05,0.007768,0.00012,0.000228,0.000223,0.000474,0.000157,0.000188,0.000157,0.000182,8E-05,0.068731,0.000134,0.023799,0.000178,f3sb43ws,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3sb43ws,Development of Multiscale Spectroscopy Methods and Instrumentation to Probe Conjugated Polymer Solar Cells,2013,"Riisnesss, Isaac James","University of California, Santa Barbara. Chemical Engineering",Michael J. Gordon,English,38.7302237718789,33.9582506202408
381,980,4,17,0.19766,7.4E-05,0.049075,0.020475,9.6E-05,5.7E-05,0.203973,9.9E-05,0.094833,7.2E-05,0.000163,6.2E-05,6.2E-05,4.7E-05,0.008332,0.000141,0.000104,5.6E-05,0.000207,3.9E-05,0.065537,8.5E-05,8.5E-05,7.8E-05,3.9E-05,5E-05,0.004884,0.000184,5.9E-05,9.9E-05,1.4E-05,0.000247,0.054254,0.000105,4.6E-05,3.7E-05,5.8E-05,8.5E-05,0.215176,5E-05,8.8E-05,5.3E-05,3.9E-05,0.000109,7.3E-05,4.5E-05,7E-05,6.6E-05,8.3E-05,0.000305,0.000153,4.6E-05,2.8E-05,3.5E-05,4.8E-05,0.000413,5.6E-05,4.7E-05,7.8E-05,6.4E-05,0.000122,0.00012,0.000254,8.4E-05,0.000101,8.4E-05,9.7E-05,4.3E-05,7.3E-05,7.2E-05,0.277819,9.5E-05,f398851w,https://www.alexandria.ucsb.edu/lib/ark:/48907/f398851w,Stretching Limited Resources Here and There: A Multi-Sited Ethnographic Study of Migrants from Guerrero in the United States,2013,"Montes, Veronica","University of California, Santa Barbara. Sociology","William I. Robinson, Juan-Vicente Palerm",English,4.47253146949296,14.9176393919854
382,981,15,18,0.329753,0.000192,0.000356,0.000218,0.000251,0.000149,0.00016,0.000258,0.00269,0.000188,0.000424,0.000162,0.000162,0.000121,0.011072,0.000367,0.032116,0.000145,0.00054,0.000101,0.011359,0.000221,0.000221,0.000202,0.000101,0.00013,0.002097,0.000479,0.01077,0.000257,3.6E-05,0.11741,0.003219,0.000274,0.000119,9.7E-05,0.000151,0.000221,0.039935,0.00013,0.00023,0.000137,0.000102,0.000285,0.00019,0.000117,0.000181,0.000172,0.000217,0.000794,0.000398,0.000119,0.339757,9.2E-05,0.000125,0.107226,0.000145,0.000121,0.000204,0.000168,0.000318,0.000311,0.074966,0.000218,0.000262,0.233751,0.000254,0.000112,0.00019,0.000187,0.001301,0.000248,f32v2d33,https://www.alexandria.ucsb.edu/lib/ark:/48907/f32v2d33,"The Gospel of Judas, the Subversion of Royal Ideology, and the Generation of a Sovereign Self",2013,"Fredrickson, Nathan Ray","University of California, Santa Barbara. Religious Studies",Christine Thomas,English,15.2568266839892,15.6882233175785
383,982,9,19,0.187847,0.000132,0.029398,0.00015,0.000172,0.000102,0.00011,0.000177,0.001847,0.000129,0.000291,0.000111,0.000111,8.3E-05,0.000314,0.000252,0.000186,9.9E-05,0.00037,6.9E-05,0.066106,0.000152,0.000152,0.000139,6.9E-05,9E-05,0.00144,0.000329,0.000106,0.000176,2.5E-05,0.00773,0.016787,0.000188,8.2E-05,6.7E-05,0.000104,0.000152,0.216917,8.9E-05,0.000158,9.4E-05,7E-05,0.000195,0.00013,8E-05,0.000125,0.000118,0.000149,0.015122,0.000274,8.2E-05,5E-05,6.3E-05,8.6E-05,0.008026,0.0001,8.3E-05,0.00014,0.000115,0.000218,0.000214,0.036895,0.00015,0.00018,0.00015,0.481206,7.7E-05,0.00013,0.000129,0.110219,0.00017,f39c6vj5,https://www.alexandria.ucsb.edu/lib/ark:/48907/f39c6vj5,Deliberative street politics and sacralized dissent: morocco's 20 february protests and the jamaa al adl wal ihsane,2013,"McManus, Allison Leigh","University of California, Santa Barbara. Global and International Studies","Jan Nederveen Pieterse, Paul Amar",English,9.46256090158885,16.2332828619
384,983,19,41,0.140126,6.5E-05,0.00012,7.4E-05,8.5E-05,5E-05,5.4E-05,8.7E-05,0.079989,6.4E-05,0.000144,5.5E-05,5.5E-05,0.068336,0.000155,0.000124,9.2E-05,4.9E-05,0.000183,3.4E-05,0.000252,0.010858,7.5E-05,6.8E-05,3.4E-05,4.4E-05,0.00071,0.003757,5.2E-05,8.7E-05,1.2E-05,0.000218,0.062196,9.3E-05,4E-05,3.3E-05,5.1E-05,7.5E-05,0.085412,4.4E-05,7.8E-05,4.6E-05,3.5E-05,9.6E-05,6.4E-05,3.9E-05,6.1E-05,5.8E-05,7.3E-05,0.054186,0.000135,4E-05,2.5E-05,3.1E-05,4.2E-05,0.000364,4.9E-05,4.1E-05,6.9E-05,5.7E-05,0.000108,0.000105,0.000224,7.4E-05,8.9E-05,7.4E-05,8.6E-05,3.8E-05,6.4E-05,6.3E-05,0.000441,0.629116,f3d50jzd,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3d50jzd,Reconstruction of heterogeneous snow water equivalent from MODIS imagery and energy balance modeling,2013,"Kahl, Annelen","University of California, Santa Barbara. Environmental Science and Management",Jeff Dozier,English,19.6835000924405,35.3564766877594
385,984,30,36,0.138041,8.2E-05,0.000152,9.3E-05,0.068226,6.4E-05,6.8E-05,0.104559,0.001151,8E-05,0.000181,6.9E-05,6.9E-05,5.2E-05,0.000196,0.000157,0.000116,6.2E-05,0.009313,4.3E-05,0.000318,9.5E-05,9.5E-05,8.6E-05,4.3E-05,5.6E-05,0.08718,0.004746,6.6E-05,0.00011,1.6E-05,0.000275,0.051331,0.000117,5.1E-05,4.2E-05,6.5E-05,9.5E-05,0.157863,5.6E-05,9.8E-05,5.9E-05,4.4E-05,0.086405,8.1E-05,5E-05,7.8E-05,7.4E-05,9.3E-05,0.00034,0.00017,5.1E-05,3.1E-05,3.9E-05,5.3E-05,0.014084,6.2E-05,5.2E-05,8.7E-05,7.2E-05,0.000136,0.000133,0.000283,9.3E-05,0.000112,9.3E-05,0.000108,4.8E-05,0.408791,8E-05,0.000557,0.000106,f3348hgm,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3348hgm,Biomimetic Polymer Vesicles via Macromolecular Click Coupling,2013,"Isaacman, Michael Joseph","University of California, Santa Barbara. Chemistry",Luke Theogarajan,English,29.9972376020209,31.4540219736453
386,985,9,41,0.250052,0.000108,0.000199,0.000122,0.00014,8.3E-05,9E-05,0.000145,0.286873,0.000105,0.000238,9.1E-05,9E-05,6.8E-05,0.000256,0.000205,0.000152,8.1E-05,0.000302,5.6E-05,0.000416,0.000124,0.000124,0.000113,5.6E-05,7.3E-05,0.00712,0.000268,8.7E-05,0.000144,2E-05,0.00036,0.043419,0.000153,6.7E-05,5.5E-05,8.5E-05,0.600581,0.052092,7.3E-05,0.000129,7.7E-05,5.7E-05,0.000159,0.000106,6.5E-05,0.000102,9.6E-05,0.000121,0.000445,0.000223,6.7E-05,4.1E-05,5.2E-05,7E-05,0.000602,8.1E-05,6.8E-05,0.000114,9.4E-05,0.000178,0.000174,0.00037,0.000122,0.000147,0.000122,0.000142,6.3E-05,0.000106,0.000105,0.000729,0.000139,f3k64g5p,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3k64g5p,Patterns of Brain Activity Associated with Successful Retrieval of Memories of Perceived and Imagined Events,2013,"King, Danielle R.","University of California, Santa Barbara. Psychology",Michael B. Miller,English,9.79653501249318,35.5305871009756
387,986,9,15,0.255021,5.2E-05,9.6E-05,5.9E-05,6.8E-05,4E-05,4.3E-05,7E-05,0.000726,5.1E-05,0.000114,0.002907,4.4E-05,0.002896,0.017305,9.9E-05,7.3E-05,3.9E-05,0.000146,2.7E-05,0.120474,6E-05,6E-05,5.4E-05,2.7E-05,3.5E-05,0.000566,0.000129,4.2E-05,6.9E-05,1E-05,0.011628,0.000868,7.4E-05,3.2E-05,2.6E-05,4.1E-05,6E-05,0.125319,3.5E-05,6.2E-05,3.7E-05,2.8E-05,7.7E-05,0.008642,3.1E-05,0.249186,4.6E-05,5.8E-05,0.014532,0.000107,3.2E-05,2E-05,2.5E-05,3.4E-05,0.215064,3.9E-05,3.3E-05,5.5E-05,0.005773,8.6E-05,8.4E-05,0.003042,5.9E-05,7.1E-05,0.020104,0.094569,3E-05,5.1E-05,0.02296,0.080533,6.7E-05,f3wm1bh9,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3wm1bh9,Laboring for Global Perfection: The International Dimension of Mid-Nineteenth-Century Fourierism,2013,"Bowman, Megan Perle","University of California, Santa Barbara. History",Patricia Cline Cohen,English,9.33028434335465,13.1827718172771
388,987,29,18,0.123943,9.5E-05,0.000175,0.000108,0.036733,7.3E-05,7.9E-05,0.000127,0.058855,9.3E-05,0.000209,8E-05,8E-05,6E-05,0.000225,0.000181,0.000134,7.1E-05,0.000266,5E-05,0.000366,0.000109,0.000109,0.0001,5E-05,6.4E-05,0.021953,0.000236,7.6E-05,0.000127,1.8E-05,0.000317,0.074806,0.000135,5.9E-05,4.8E-05,7.4E-05,0.000109,0.124276,6.4E-05,0.000113,6.8E-05,5E-05,0.00014,9.4E-05,5.7E-05,8.9E-05,8.5E-05,0.000107,0.131141,0.000196,5.9E-05,3.6E-05,4.5E-05,0.015751,0.00053,7.1E-05,6E-05,0.0001,8.3E-05,0.000156,0.465622,0.063085,0.000107,0.000129,0.000108,0.000125,5.5E-05,9.4E-05,9.2E-05,0.000641,0.000122,f3c53hvg,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3c53hvg,Spatial Stochastic Modeling and Simulation of Polarisome Formation in Saccharomyces cerevisiae,2013,"Lawson, Michael Jo Ben","University of California, Santa Barbara. Biomolecular Science and Engineering","Linda R. Petzold, Deborah Fygenson",English,28.8531576678112,15.6038902662872
389,988,36,12,0.221646,0.000198,0.000367,0.000226,0.000259,0.000154,0.000165,0.000267,0.123386,0.000194,0.000438,0.000168,0.000167,0.000125,0.000472,0.000379,0.00028,0.00015,0.000557,0.000104,0.121375,0.000228,0.000229,0.000209,0.000104,0.000135,0.002166,0.000495,0.00016,0.000266,3.7E-05,0.000665,0.102004,0.000283,0.000123,0.296137,0.000156,0.066014,0.150892,0.000134,0.000237,0.000142,0.000105,0.000294,0.000196,0.00012,0.000187,0.000178,0.000224,0.00082,0.000411,0.000123,7.5E-05,9.5E-05,0.000129,0.00111,0.00015,0.000125,0.00021,0.000173,0.000328,0.000321,0.000682,0.000225,0.00027,0.000225,0.098941,0.000116,0.000196,0.000193,0.023273,0.000256,f37p8wgx,https://www.alexandria.ucsb.edu/lib/ark:/48907/f37p8wgx,Targets of reputational attributions in foreign policy: A cognitive psychological approach,2013,"Albuyeh, Rod","University of California, Santa Barbara. Political Science",Benjamin J. Cohen,English,35.8608263441935,10.2407593311708
390,749,41,33,0.15771,7E-05,0.000129,7.9E-05,9.1E-05,5.4E-05,5.8E-05,9.3E-05,0.004817,6.8E-05,0.015526,5.9E-05,5.8E-05,4.4E-05,0.000165,0.000133,9.8E-05,5.2E-05,0.000195,3.6E-05,0.000269,8E-05,8E-05,7.3E-05,3.6E-05,4.7E-05,0.008445,0.000173,5.6E-05,9.3E-05,1.3E-05,0.000233,0.212537,9.9E-05,4.3E-05,3.5E-05,5.5E-05,8E-05,0.095164,4.7E-05,8.3E-05,5E-05,3.7E-05,0.000103,0.657243,4.2E-05,6.6E-05,6.2E-05,7.8E-05,0.000288,0.000144,4.3E-05,2.6E-05,3.3E-05,4.5E-05,0.000389,5.3E-05,4.4E-05,7.4E-05,6.1E-05,0.000115,0.000113,0.000239,7.9E-05,9.5E-05,7.9E-05,9.2E-05,4.1E-05,6.9E-05,6.8E-05,0.000471,9E-05,f3rb72k5,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3rb72k5,Strain Relaxation in Semipolar III-Nitrides for Light Emitting Diode Applications,2013,"Koslow, Ingrid Larson","University of California, Santa Barbara. Materials",Steven DenBaars,English,41.7785390864604,28.4873124220715
391,647,21,19,0.219282,8.9E-05,0.000166,0.000102,0.395755,6.9E-05,7.5E-05,0.00012,0.01609,0.014924,0.000198,7.6E-05,7.5E-05,5.6E-05,0.000213,0.010062,0.000126,6.8E-05,0.000251,4.7E-05,0.000346,0.000103,0.000103,0.232531,4.7E-05,6.1E-05,0.020759,0.000223,7.2E-05,0.064411,1.7E-05,0.0003,0.115246,0.000127,5.6E-05,4.5E-05,7E-05,0.000103,0.12246,6.1E-05,0.000107,6.4E-05,4.8E-05,0.000133,8.9E-05,5.4E-05,8.4E-05,8E-05,0.000101,0.00037,0.000186,5.5E-05,3.4E-05,4.3E-05,5.8E-05,0.000501,6.8E-05,5.7E-05,9.5E-05,7.8E-05,0.000148,0.000145,0.000308,0.000102,0.000122,0.000102,0.000118,5.2E-05,8.8E-05,8.7E-05,0.000606,0.000115,f3h41pk3,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3h41pk3,Xeno-Free Derivation of Retinal Pigmented Epithelium from Human Pluripotent Stem Cells,2014,"Pennington, Britney Ocean","University of California, Santa Barbara. Biomolecular Science and Engineering",Dennis O. Clegg,English,21.7732853644725,16.4466763099034
392,989,7,11,0.212087,0.000198,0.142903,0.109869,0.000259,0.000154,0.000165,0.000267,0.002779,0.000194,0.000438,0.000168,0.000167,0.000125,0.000472,0.000379,0.00028,0.022078,0.055379,0.000104,0.000768,0.000228,0.000229,0.000209,0.000104,0.000135,0.078916,0.000495,0.00016,0.000266,3.7E-05,0.000665,0.047182,0.000283,0.000123,0.000101,0.000156,0.000228,0.01932,0.000134,0.000237,0.000142,0.000105,0.000294,0.000196,0.00012,0.000187,0.000178,0.011188,0.00082,0.000411,0.000123,7.5E-05,9.5E-05,0.000129,0.319075,0.00015,0.000125,0.00021,0.000173,0.000328,0.000321,0.000682,0.01119,0.00027,0.000225,0.000262,0.000116,0.000196,0.000193,0.165809,0.000256,f35x271r,https://www.alexandria.ucsb.edu/lib/ark:/48907/f35x271r,Displaying Domesticity: Life in the Mid-Twentieth Century Glass House,2013,"Papineau, Katherine Marie Kaford","University of California, Santa Barbara. Art History",Volker M. Welter,English,7.64773456159954,9.34474343950485
393,750,26,27,0.186677,8.6E-05,0.000159,9.7E-05,0.000112,6.6E-05,7.1E-05,0.000115,0.005935,8.4E-05,0.142231,7.2E-05,7.2E-05,5.4E-05,0.000204,0.000164,0.000121,6.5E-05,0.000241,4.5E-05,0.000332,9.9E-05,9.9E-05,9E-05,4.5E-05,5.8E-05,0.057752,0.000214,6.9E-05,0.000115,1.6E-05,0.000287,0.091396,0.000122,5.3E-05,4.3E-05,6.7E-05,9.9E-05,0.178794,5.8E-05,0.000103,0.113695,4.6E-05,0.364702,8.5E-05,5.2E-05,8.1E-05,7.7E-05,9.7E-05,0.028763,0.000178,5.3E-05,3.2E-05,4.1E-05,0.00479,0.000479,6.5E-05,5.4E-05,9.1E-05,7.5E-05,0.000142,0.000139,0.000295,9.7E-05,0.000117,9.7E-05,0.000113,5E-05,0.004819,8.3E-05,0.00058,0.000111,f3cz354v,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3cz354v,Influences of Organic-Inorganic Surface Interactions on Crystallization in Liquid-Solid Systems,2013,"Smith, Benjamin James","University of California, Santa Barbara. Chemical Engineering","Bradley F. Chmelka, Jacob N. Israelachvili",English,26.4438855773169,23.5538490673361
394,648,34,0,0.20344,9.7E-05,0.000179,0.00011,0.000126,7.5E-05,8.1E-05,0.00013,0.076138,9.5E-05,0.000213,8.2E-05,8.1E-05,6.1E-05,0.00023,0.000184,0.000136,7.3E-05,0.000272,5.1E-05,0.000374,0.000111,0.000111,0.000102,5.1E-05,6.6E-05,0.001055,0.523731,7.8E-05,0.000129,1.8E-05,0.059083,0.012303,0.000138,6E-05,4.9E-05,7.6E-05,0.128313,0.116248,6.6E-05,0.000116,6.9E-05,5.1E-05,0.000143,9.6E-05,5.9E-05,9.1E-05,8.7E-05,0.000109,0.0004,0.0002,6E-05,3.7E-05,4.6E-05,6.3E-05,0.000541,7.3E-05,6.1E-05,0.000103,8.4E-05,0.00016,0.000157,0.075117,0.00011,0.000132,0.00011,0.000128,5.6E-05,9.6E-05,9.4E-05,0.000655,0.000125,f3sf2tc1,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3sf2tc1,Modeling Eye Tracking Data with Application to Object Detection,2014,"Shanmuga Vadivel, Karthikeyan","University of California, Santa Barbara. Electrical and Computer Engineering",B.S. Manjunath,English,33.7076515371297,0.0605614287545474
395,990,40,21,0.133707,0.000186,0.000345,0.000212,0.000243,0.30877,0.000155,0.00025,0.002607,0.000182,0.000411,0.000157,0.000157,0.000117,0.000443,0.000355,0.000263,0.00014,0.000523,9.8E-05,0.000721,0.000214,0.205965,0.000196,9.8E-05,0.000126,0.166633,0.000464,0.00015,0.000249,3.5E-05,0.000624,0.178008,0.000265,0.000116,9.4E-05,0.000146,0.000214,0.110716,0.000126,0.000223,0.000133,9.9E-05,0.000276,0.000184,0.000113,0.000176,0.000167,0.00021,0.00077,0.000386,0.000115,7E-05,8.9E-05,0.000121,0.011329,0.000141,0.000118,0.000197,0.000163,0.000308,0.000301,0.00064,0.000211,0.000254,0.000211,0.000246,0.000109,0.000184,0.000181,0.001261,0.00024,f3bp00wf,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3bp00wf,Engineering and Manipulating Single Spins in Diamond,2013,"Heremans, Joseph Paul IV","University of California, Santa Barbara. Electrical and Computer Engineering",David D. Awschalom,English,40.6764614756304,18.2003314141739
396,751,31,1,0.102591,0.000124,0.000229,0.000141,0.061719,9.6E-05,0.000103,0.000166,0.008573,0.000121,0.013953,0.000105,0.000104,7.8E-05,0.000295,0.000236,0.000175,9.3E-05,0.000348,6.5E-05,0.000479,0.000142,0.000143,0.00013,6.5E-05,8.4E-05,0.179184,0.390172,0.0001,0.000166,2.3E-05,0.000415,0.10467,0.000176,7.7E-05,6.3E-05,9.7E-05,0.000142,0.210404,8.4E-05,0.006988,8.8E-05,6.6E-05,0.000183,0.000122,7.5E-05,0.000117,0.000111,0.00014,0.000512,0.000257,7.7E-05,4.7E-05,5.9E-05,8E-05,0.007532,9.3E-05,7.8E-05,0.000131,0.000108,0.000205,0.0002,0.000426,0.000141,0.000169,0.000141,0.000163,7.2E-05,0.006962,0.000121,0.000838,0.00016,f3pc30bd,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3pc30bd,Dynamic Imaging of Function and Morphogenesis in the Developing Heart,2013,"Ohn, Jungho","University of California, Santa Barbara. Electrical and Computer Engineering",Michael Liebling,English,31.4203856518992,0.682999004241457
