FID,ID,Xindex,Yindex,Qerror,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24,topic25,topic26,topic27,topic28,topic29,topic30,topic31,topic32,topic33,topic34,topic35,topic36,topic37,topic38,topic39,topic40,topic41,topic42,topic43,topic44,topic45,topic46,topic47,topic48,topic49,topic50,topic51,topic52,topic53,topic54,topic55,topic56,topic57,topic58,topic59,topic60,topic61,topic62,topic63,topic64,topic65,topic66,topic67,topic68,topic69,topic70,identifier,identifi_1,title,year,author,degree_gra,degree_sup,language,x,y
25,223,35,20,0.204574,0.000136,0.000251,0.000155,0.000177,0.000105,0.000113,0.000183,0.001903,0.000133,0.0003,0.000115,0.000114,8.6E-05,0.000323,0.000259,0.000192,0.000102,0.000382,7.1E-05,0.000526,0.000156,0.000157,0.000143,7.1E-05,9.2E-05,0.001483,0.112947,0.000109,0.000182,2.6E-05,0.000455,0.062334,0.000194,8.4E-05,6.9E-05,0.000107,0.000156,0.11833,9.2E-05,0.398046,9.7E-05,7.2E-05,0.000201,0.000134,8.2E-05,0.000128,0.000122,0.000153,0.098156,0.000282,8.4E-05,5.1E-05,6.5E-05,8.8E-05,0.008267,0.000103,8.6E-05,0.000144,0.000119,0.000225,0.00022,0.000467,0.000154,0.000185,0.000154,0.000179,0.172745,0.000134,0.000132,0.015935,0.000175,f3833q6t,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3833q6t,A New Method for Measuring Black Hole Masses in Active Galaxies: Modeling the Broad Line Region Using Reverberation Mapping Data,2015,"Pancoast, Anna K.","University of California, Santa Barbara. Physics",Tommaso Treu,English,35.1821302536138,17.4867146892758
26,3,10,8,0.383944,0.000104,0.000192,0.017339,0.000136,8E-05,8.7E-05,0.00014,0.047378,0.011582,0.000229,8.8E-05,8.7E-05,6.5E-05,0.000247,0.000198,0.000147,7.8E-05,0.000292,5.4E-05,0.000402,0.000119,0.00012,0.000109,5.4E-05,7.1E-05,0.012615,0.000259,8.4E-05,0.000139,2E-05,0.000348,0.001741,0.000148,6.4E-05,5.3E-05,8.2E-05,0.000119,0.096221,7E-05,0.000124,7.4E-05,0.028757,0.000154,0.000103,6.3E-05,9.8E-05,9.3E-05,0.499529,0.000429,0.000215,6.4E-05,3.9E-05,5E-05,6.7E-05,0.172792,7.8E-05,6.6E-05,0.00011,9.1E-05,0.000172,0.000168,0.000357,0.000118,0.000142,0.000118,0.000137,6.1E-05,0.000103,0.103428,0.000704,0.000134,f3ws8t2n,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3ws8t2n,"Wings Well Braced with Bone : Ibsen, Gender, and the Norse Sagas",2016,"Jensen, Anna","University of California, Santa Barbara. Theater Studies",Simon Williams,English,9.92415489527981,6.7056219508882
27,101,35,18,0.210127,0.000112,0.000207,0.000127,0.000146,8.6E-05,9.3E-05,0.00015,0.001562,0.000109,0.086557,9.4E-05,9.4E-05,7E-05,0.000265,0.000213,0.000157,8.4E-05,0.000313,5.8E-05,0.000432,0.000128,0.000129,0.000117,5.8E-05,7.6E-05,0.001218,0.006443,9E-05,0.000149,2.1E-05,0.000374,0.05119,0.000159,6.9E-05,5.7E-05,8.8E-05,0.000128,0.152659,7.6E-05,0.610472,8E-05,5.9E-05,0.000165,0.00011,6.8E-05,0.000105,0.0001,0.000126,0.074442,0.000231,6.9E-05,4.2E-05,5.4E-05,7.2E-05,0.000624,8.4E-05,7E-05,0.000118,9.7E-05,0.000184,0.000181,0.000384,0.000127,0.000152,0.000127,0.000147,6.5E-05,0.00011,0.000109,0.000756,0.006309,f3cf9n8j,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3cf9n8j,High Resolution Laser Spectroscopy and Nanoscale Proximal Probe Desorption of Historically Significant Molecules,2015,"Owens, Shawn Christopher","University of California, Santa Barbara. Chemistry and Biochemistry",Mattanjah de Vries,English,35.1477807086597,15.7307119696731
28,4,3,0,0.229285,6.6E-05,0.000121,7.5E-05,8.6E-05,5.1E-05,5.5E-05,0.003709,0.029882,6.4E-05,0.003765,5.5E-05,5.5E-05,4.1E-05,0.000156,0.000125,9.2E-05,4.9E-05,0.000184,0.025378,0.000254,0.003696,7.5E-05,6.9E-05,3.4E-05,4.4E-05,0.000715,0.000163,5.3E-05,8.8E-05,1.2E-05,0.159521,0.004718,9.3E-05,4.1E-05,3.3E-05,5.1E-05,7.5E-05,0.183784,4.4E-05,7.8E-05,4.7E-05,3.5E-05,9.7E-05,6.5E-05,4E-05,6.2E-05,5.9E-05,7.4E-05,0.000271,0.000136,4.1E-05,2.5E-05,3.1E-05,4.3E-05,0.036572,4.9E-05,4.1E-05,6.9E-05,5.7E-05,0.032693,0.000106,0.000225,7.4E-05,8.9E-05,7.4E-05,8.6E-05,3.8E-05,6.5E-05,0.007305,0.503693,8.5E-05,f3s182bm,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3s182bm,Consciousness and Resistance in Chicano Barrio Narratives,2016,"Nez, Ana Arellano","University of California, Santa Barbara. Comparative Literature",Francisco A. Lomeli,English,2.85894573127287,-0.0484836099127237
29,102,7,2,0.253422,9.8E-05,0.000182,0.000112,0.000128,7.6E-05,8.2E-05,0.000132,0.028519,9.6E-05,0.000217,8.3E-05,8.3E-05,6.2E-05,0.000234,0.000187,0.000139,7.4E-05,0.000276,5.1E-05,0.00038,0.000113,0.000113,0.000103,5.1E-05,0.271503,0.006501,0.000245,7.9E-05,0.000131,1.9E-05,0.022044,0.001646,0.00014,6.1E-05,5E-05,7.7E-05,0.000113,0.096426,6.7E-05,0.000118,7E-05,0.032625,0.000145,9.7E-05,6E-05,0.076095,8.8E-05,0.000111,0.005835,0.000204,6.1E-05,3.7E-05,4.7E-05,6.4E-05,0.00055,7.4E-05,6.2E-05,0.000104,8.6E-05,0.000162,0.000159,0.000338,0.000112,0.000134,0.000112,0.070703,5.7E-05,9.7E-05,0.233531,0.147241,0.000127,f3nz85vn,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3nz85vn,"No Effort, No Entry : Vestimentary Systems in "Africa's Gay Capital"",2015,"Mann, Joseph Bryce","University of California, Santa Barbara. Feminist Studies",Leila Rupp,English,7.26545231517937,1.86666967742775
30,5,24,33,0.186996,6.9E-05,0.000128,7.9E-05,9E-05,5.4E-05,5.8E-05,9.3E-05,0.020112,6.8E-05,0.000153,5.9E-05,5.8E-05,4.4E-05,0.000165,0.000132,9.8E-05,5.2E-05,0.000195,3.6E-05,0.000268,8E-05,8E-05,7.3E-05,3.6E-05,4.7E-05,0.01607,0.000173,5.6E-05,9.3E-05,1.3E-05,0.000232,0.142812,9.9E-05,0.003871,3.5E-05,0.359925,8E-05,0.163711,4.7E-05,8.3E-05,4.9E-05,3.7E-05,0.000103,6.9E-05,4.2E-05,6.5E-05,6.2E-05,7.8E-05,0.000286,0.000144,4.3E-05,2.6E-05,3.3E-05,4.5E-05,0.000388,5.2E-05,4.4E-05,0.072813,6E-05,0.000115,0.000112,0.000238,7.9E-05,9.4E-05,7.9E-05,9.1E-05,4E-05,6.8E-05,0.007724,0.004298,0.202995,f38052dc,https://www.alexandria.ucsb.edu/lib/ark:/48907/f38052dc,Cosmogenic 35S as an Intrinsic Hydrologic Tracer for Young Groundwater in Mountain Basins and Managed Aquifer Recharge Facilities,2016,"Uriostegui, Stephanie H.","University of California, Santa Barbara. Geological Sciences",Jordan Clark,English,24.4723003517597,28.8397090512478
31,103,41,17,0.139425,7E-05,0.000129,7.9E-05,9.1E-05,5.4E-05,5.8E-05,9.4E-05,0.058847,6.8E-05,0.000154,5.9E-05,5.9E-05,4.4E-05,0.000166,0.000133,9.8E-05,5.3E-05,0.000196,3.7E-05,0.007986,8E-05,0.532478,7.3E-05,3.7E-05,4.7E-05,0.0432,0.000174,5.6E-05,9.3E-05,1.3E-05,0.000234,0.116908,9.9E-05,4.3E-05,3.5E-05,5.5E-05,8E-05,0.087815,4.7E-05,0.015515,5E-05,3.7E-05,0.000103,0.061796,4.2E-05,6.6E-05,6.3E-05,7.9E-05,0.000289,0.000145,4.3E-05,2.6E-05,3.4E-05,4.5E-05,0.000391,5.3E-05,4.4E-05,7.4E-05,6.1E-05,0.000115,0.000113,0.00024,0.069522,9.5E-05,7.9E-05,9.2E-05,4.1E-05,6.9E-05,6.8E-05,0.000473,9E-05,f3th8jwq,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3th8jwq,Heterogeneous Integration for Reduced Phase Noise and Improved Reliability of Semiconductor Lasers,2015,"Srinivasan, Sudharsanan","University of California, Santa Barbara. Electrical and Computer Engineering",John Bowers,English,41.341974221442,14.6725904444883
32,6,32,2,0.106957,0.000109,0.000202,0.000124,0.000142,8.4E-05,9.1E-05,0.000146,0.001525,0.000107,0.00024,9.2E-05,9.2E-05,6.9E-05,0.000259,0.000208,0.000154,8.2E-05,0.000306,5.7E-05,0.000421,0.012159,0.000125,0.000114,5.7E-05,7.4E-05,0.163639,0.325171,8.8E-05,0.000146,2.1E-05,0.000365,0.122158,0.000155,6.8E-05,5.5E-05,8.6E-05,0.036225,0.221185,7.4E-05,0.00013,7.8E-05,5.8E-05,0.000161,0.000108,6.6E-05,0.000103,0.012131,0.000123,0.00045,0.000226,6.7E-05,4.1E-05,5.2E-05,7.1E-05,0.000609,8.2E-05,6.9E-05,0.000115,9.5E-05,0.00018,0.000176,0.090624,0.000124,0.006165,0.000124,0.000144,6.3E-05,0.000108,0.000106,0.000738,0.00014,f3vt1rxd,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3vt1rxd,Sensor Fusion with Conditional Random Fields,2016,"Rahimi, Amir Mohaymen","University of California, Santa Barbara. Electrical and Computer Engineering",B.S. Manjunath,English,31.88295992514,1.62381054687443
33,104,4,0,0.246892,8.3E-05,0.000153,9.4E-05,0.000108,6.4E-05,6.9E-05,0.000111,0.001156,8.1E-05,0.000182,0.004632,6.9E-05,5.2E-05,0.000196,0.000158,0.000116,6.2E-05,0.000232,4.3E-05,0.032253,9.5E-05,9.5E-05,8.7E-05,4.3E-05,5.6E-05,0.005463,0.000206,6.6E-05,0.00011,1.6E-05,0.000277,0.001383,0.000118,5.1E-05,4.2E-05,6.5E-05,9.5E-05,0.154021,5.6E-05,9.9E-05,5.9E-05,4.4E-05,0.000122,8.2E-05,5E-05,7.8E-05,7.4E-05,0.214504,0.000341,0.000171,5.1E-05,3.1E-05,4E-05,5.4E-05,0.000462,6.2E-05,0.004614,0.027459,0.004634,0.000136,0.000134,0.000284,9.4E-05,0.000112,9.4E-05,0.000109,4.8E-05,8.2E-05,8E-05,0.54343,0.000107,f3sq8xmf,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3sq8xmf,The Other Side of Racism : Welfare Recipients and Racial Privilege in Greater Boston,2015,"MacDonald, Melissa Ann","University of California, Santa Barbara. Sociology",France Winddance Twine,English,4.11029377910672,0.193764396473009
34,7,29,27,0.1098,0.000136,0.000251,0.000155,0.000177,0.045149,0.000113,0.000183,0.001903,0.000133,0.0003,0.000115,0.000114,8.6E-05,0.000323,0.007766,0.000192,0.000102,0.007889,7.1E-05,0.000526,0.000156,0.000157,0.000143,7.1E-05,9.2E-05,0.076555,0.000339,0.000109,0.000182,0.105127,0.000455,0.092363,0.000194,8.4E-05,6.9E-05,0.000107,0.000156,0.215924,9.2E-05,0.000163,9.7E-05,7.2E-05,0.255447,0.000134,8.2E-05,0.000128,0.000122,0.000153,0.135692,0.000282,8.4E-05,5.1E-05,6.5E-05,8.8E-05,0.00076,0.000103,8.6E-05,0.000144,0.000119,0.000225,0.00022,0.000467,0.000154,0.000185,0.000154,0.000179,7.9E-05,0.045178,0.000132,0.00092,0.000175,f3zk5gg9,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3zk5gg9,Tuning Electrostatic Interactions in Confined Soft Matter,2016,"Gebbie, Matthew Allen","University of California, Santa Barbara. Materials",Jacob N. Israelachvili,English,29.2671804320711,23.372573665559
